relative,file_name,extension,top_folder,bytes,modified_utc,classification,source
"NEWNAME.SET\PCM\RAM55.PCM","RAM55.PCM",".pcm","NEWNAME.SET",2243332,"2007-06-28T09:47:42.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM55.PCM"
"NEWNAME.SET\PCM\RAM56.PCM","RAM56.PCM",".pcm","NEWNAME.SET",2131284,"2007-06-28T09:47:42.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM56.PCM"
"NEWNAME.SET\PCM\RAM57.PCM","RAM57.PCM",".pcm","NEWNAME.SET",3810854,"2007-06-28T09:47:44.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM57.PCM"
"NEWNAME.SET\PCM\RAM58.PCM","RAM58.PCM",".pcm","NEWNAME.SET",2158382,"2007-06-28T09:47:46.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM58.PCM"
"NEWNAME.SET\PCM\RAM59.PCM","RAM59.PCM",".pcm","NEWNAME.SET",2029138,"2007-06-28T09:47:46.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM59.PCM"
"NEWNAME.SET\PCM\RAM60.PCM","RAM60.PCM",".pcm","NEWNAME.SET",2967115,"2007-06-28T09:47:48.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM60.PCM"
"NEWNAME.SET\PCM\RAM61.PCM","RAM61.PCM",".pcm","NEWNAME.SET",2104894,"2007-06-28T09:47:50.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM61.PCM"
"NEWNAME.SET\PCM\RAM62.PCM","RAM62.PCM",".pcm","NEWNAME.SET",2926341,"2007-06-28T09:47:50.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM62.PCM"
"NEWNAME.SET\PCM\RAM63.PCM","RAM63.PCM",".pcm","NEWNAME.SET",2164118,"2007-06-28T09:47:52.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM63.PCM"
"NEWNAME.SET\PCM\RAM64.PCM","RAM64.PCM",".pcm","NEWNAME.SET",2000496,"2007-06-28T09:47:52.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM64.PCM"
